layer_name,latency_ns
Conv_0,99220
MaxPool_2,93844
Conv_3,72268
Conv_5,72268
Add_6,12644
Conv_8,72268
Conv_10,72268
Add_11,12644
Conv_13,72268
Conv_15,72268
Add_16,12644
Conv_18,39376
Conv_20,76356
Conv_21,26308
Add_22,6500
Conv_24,76356
Conv_26,76352
Add_27,6500
Conv_29,76356
Conv_31,76356
Add_32,6500
Conv_34,76356
Conv_36,76356
Add_37,6500
Conv_39,47460
Conv_41,93532
Conv_42,26952
Add_43,3684
Conv_45,93536
Conv_47,93536
Add_48,3684
Conv_50,93532
Conv_52,93536
Add_53,3684
Conv_55,93532
Conv_57,93536
Add_58,3684
Conv_60,93532
Conv_62,93536
Add_63,3684
Conv_65,93532
Conv_67,93536
Add_68,3684
Conv_70,47376
Conv_72,93456
Conv_73,25792
Add_74,2148
Conv_76,93460
Conv_78,93456
Add_79,2148
Conv_81,93460
Conv_83,93460
Add_84,2148
GlobalAveragePool_86,25600
Gemm_88,33328