layer_name,latency_ns
Conv_0,28216
Conv_2,80324
Conv_4,26536
Conv_6,49068
Conv_8,13996
Conv_10,49068
Conv_13,51624
Conv_15,96920
Conv_17,26536
Conv_19,49068
Conv_21,13992
Conv_23,49068
Conv_26,152240
Conv_28,168844
Conv_30,36900
Conv_32,88964
Conv_34,19152
Conv_36,88964
Conv_39,72396
Conv_41,147464
Conv_43,36900
Conv_45,88964
Conv_47,19152
Conv_49,88964
Conv_52,192708
Conv_54,211932
Conv_56,41320
Conv_58,103964
Conv_60,21332
Conv_62,103964
Conv_65,81296
Conv_67,206712
Conv_69,41320
Conv_71,103964
Conv_73,21332
Conv_75,103964
Conv_78,183580
Conv_80,325516
Conv_82,692736
Conv_84,923216
Conv_86,103936
AveragePool_89,17024
Gemm_91,66096