layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,96,3,224,224,7,7,2,2,0,0,0,0
MaxPool_2,MaxPool,96,96,109,109,3,3,2,2,0,1,0,1
Conv_3,Conv,32,96,54,54,1,1,1,1,0,0,0,0
Conv_5,Conv,64,32,54,54,1,1,1,1,0,0,0,0
Conv_7,Conv,64,16,54,54,3,3,1,1,1,1,1,1
Conv_10,Conv,32,128,54,54,1,1,1,1,0,0,0,0
Conv_12,Conv,64,32,54,54,1,1,1,1,0,0,0,0
Conv_14,Conv,64,16,54,54,3,3,1,1,1,1,1,1
Conv_17,Conv,32,128,54,54,1,1,1,1,0,0,0,0
Conv_19,Conv,128,32,54,54,1,1,1,1,0,0,0,0
Conv_21,Conv,128,32,54,54,3,3,1,1,1,1,1,1
MaxPool_24,MaxPool,256,256,54,54,3,3,2,2,0,2,0,2
Conv_25,Conv,32,256,27,27,1,1,1,1,0,0,0,0
Conv_27,Conv,128,32,27,27,1,1,1,1,0,0,0,0
Conv_29,Conv,128,32,27,27,3,3,1,1,1,1,1,1
Conv_32,Conv,64,256,27,27,1,1,1,1,0,0,0,0
Conv_34,Conv,192,48,27,27,1,1,1,1,0,0,0,0
Conv_36,Conv,192,48,27,27,3,3,1,1,1,1,1,1
Conv_39,Conv,64,384,27,27,1,1,1,1,0,0,0,0
Conv_41,Conv,192,48,27,27,1,1,1,1,0,0,0,0
Conv_43,Conv,192,48,27,27,3,3,1,1,1,1,1,1
Conv_46,Conv,64,384,27,27,1,1,1,1,0,0,0,0
Conv_48,Conv,256,64,27,27,1,1,1,1,0,0,0,0
Conv_50,Conv,256,64,27,27,3,3,1,1,1,1,1,1
MaxPool_53,MaxPool,512,512,27,27,3,3,2,2,0,1,0,1
Conv_54,Conv,64,512,13,13,1,1,1,1,0,0,0,0
Conv_56,Conv,256,64,13,13,1,1,1,1,0,0,0,0
Conv_58,Conv,256,64,13,13,3,3,1,1,1,1,1,1
Conv_61,Conv,1024,512,13,13,1,1,1,1,0,0,0,0
GlobalAveragePool_63,AveragePool,1000,1000,13,13,13,13,1,1,0,0,0,0