layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,64,3,224,224,3,3,2,2,1,1,1,1
Conv_2,Conv,64,64,112,112,3,3,1,1,1,1,1,1
Conv_4,Conv,128,64,112,112,3,3,2,2,1,1,1,1
Conv_6,Conv,64,128,56,56,3,3,1,1,1,1,1,1
Conv_8,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_10,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_12,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_14,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_17,Conv,128,448,56,56,1,1,1,1,0,0,0,0
MaxPool_19,MaxPool,128,128,56,56,3,3,2,2,0,2,0,2
Conv_20,Conv,96,128,28,28,3,3,1,1,1,1,1,1
Conv_22,Conv,96,80,28,28,3,3,1,1,1,1,1,1
Conv_24,Conv,96,80,28,28,3,3,1,1,1,1,1,1
Conv_26,Conv,96,80,28,28,3,3,1,1,1,1,1,1
Conv_28,Conv,96,80,28,28,3,3,1,1,1,1,1,1
Conv_31,Conv,256,528,28,28,1,1,1,1,0,0,0,0
MaxPool_33,MaxPool,256,256,28,28,3,3,2,2,0,2,0,2
Conv_34,Conv,96,256,14,14,3,3,1,1,1,1,1,1
Conv_36,Conv,96,96,14,14,3,3,1,1,1,1,1,1
Conv_38,Conv,96,96,14,14,3,3,1,1,1,1,1,1
Conv_40,Conv,96,96,14,14,3,3,1,1,1,1,1,1
Conv_42,Conv,96,96,14,14,3,3,1,1,1,1,1,1
Conv_45,Conv,384,736,14,14,1,1,1,1,0,0,0,0
MaxPool_47,MaxPool,384,384,14,14,3,3,2,2,0,2,0,2
Conv_48,Conv,128,384,7,7,3,3,1,1,1,1,1,1
Conv_50,Conv,128,112,7,7,3,3,1,1,1,1,1,1
Conv_52,Conv,128,112,7,7,3,3,1,1,1,1,1,1
Conv_54,Conv,128,112,7,7,3,3,1,1,1,1,1,1
Conv_56,Conv,128,112,7,7,3,3,1,1,1,1,1,1
Conv_59,Conv,512,944,7,7,1,1,1,1,0,0,0,0
AveragePool_61,AveragePool,512,512,7,7,7,7,1,1,0,0,0,0
Gemm_63,Fc,1024,512,1,1,1,1,1,1,0,0,0,0